㞮	deru
匄	motomeru
包	tsutsumu
匆	isogashii
匈	mune
匉	hyou
匊	sukuu
匋	yakimono
匌	au
匍	hau
匎	ogoranai
匏	hisago
匐	harabau
匑	uyamau
匒	tou
匓	atsu
匕	saji
化	bakeru
北	kita
匘	nauzuru
匙	saji
匚	hako
匛	hitsugi
匜	hisage
匝	meguru
匞	takumi
匟	kou
匠	takumi
匡	tadasu
匢	kotsu
匣	hako
匤	hako
匥	hako
匧	hako
匨	kura
匩	tadasu
匪	hako
匫	utsuwa
匬	masu
匭	hako
匯	meguru
匰	zushi
匱	hitsu
匲	hako
匳	kushige
匴	san
匵	hitsu
匷	kyo
匸	kakusu
匹	tagui
区	ku
医	iyasu
匼	kobihetsurau
匽	kakusu
匾	usui
匿	kakureru
區	wakeru
十	tou
卂	tobu
千	chi
卄	nijuu
卅	sanjuu
卆	niwaka
升	masu
午	uma
卉	kusa
半	nakaba
卋	yo
卌	yonjuu
卍	manji
卐	manji
卑	hikui
卒	niwaka
卓	sugureru
協	kanau
单	hitoe
南	minami
単	hitoe
卙	atsumaru
博	hiroi
卛	hikiiru
卜	uranau
卝	agemaki
卞	nori
占	shimeru
卡	sahu
卣	saketsubo
卤	sei
卥	sei
卦	urakata
卨	setsu
卩	warifu
卬	nozomu
卭	kyou
卮	sakazuki
卯	u
印	shirushi
危	ayaui
卲	takai
即	tsuku
却	shirizoku
卵	tamago
卷	maku
卸	orosu
卹	ureeru
卺	sakazuki
卻	shirizoku
卼	ayai
卽	tsuku
卾	uwaago
卿	kimi
厀	shitsu
厂	gake
厃	aogu
厄	kurushimu
厇	hiraku
厈	gandare
厉	rei
厊	kuichigau
压	osaeru
厎	to
厏	kuichigau
厒	kahu
厓	gake
厔	sasaerareru
厖	ookii
厗	tei
厘	mise
厙	sha
厚	atsui
厜	shi
厝	to
厞	hi
原	hara
厠	kawaya
厡	gen
厤	osameru
厥	sono
厦	ie
厧	tsuka
厨	kuriya
厩	umaya
厪	koya
厫	kura
厬	ki
厭	akiru
厮	komono
厯	koromi
厰	umaya
厲	to
厳	kibishii
厴	en
厵	minamoto
厶	gozaru
厷	kaina
厸	tonaru
厹	jiu
厺	saru
去	saru
厽	kabe
叀	tsutsushimu
叁	mitsu
参	mairu
參	mairu
叄	mairu
叅	mairu
叆	ai
叇	tai
又	mata
叉	mata
及	oyobu
友	tomo
双	futatsu
反	soru
収	osameru
叏	wakeru
叐	hatsu
叒	shitagau
叓	koto
叔	oji
叕	tsuzuru
取	toru
受	ukeru
变	kawaru
叙	tsuideru
叚	kariru
叛	somuku
叝	kou
叞	i
叟	okina
叠	tatamu
叡	akiraka
叢	kusamura
口	kuchi
古	furui
句	ku
另	wakareru
叧	wakeru
叨	midarini
叩	tataku
只	tada
叫	sakebu
召	mesu
叭	hatsu
叮	tanomu
可	yoi
台	utena
叱	shikaru
史	fubito
右	migi
叵	dekinai
叶	kanau
号	sakebu
司	tsukasadoru
叹	iu
叺	kamasu
叻	roku
叼	kuwaeru
吁	au
吂	oiboreru
吃	domoru
各	onoono
吅	ten
吆	koe
合	au
吉	yoi
吊	tsurusu
吋	inchi
同	onaji
名	na
后	kimi
吏	tsukasa
吐	haku
向	muku
吒	ta
吓	odosu
吔	se
吕	sebone
吘	yawaragu
吙	kuu
吚	umeku
君	kimi
吜	koe
吝	oshimu
吞	nomu
吟	utau
吠	hoeru
吡	soshiru
吢	haku
吣	shin
吤	koe
吥	hou
否	ina
吧	ookuchinosama
吨	ton
吩	fuku
吪	ugoku
含	fukumu
听	warau
吭	nodo
吮	suu
启	hiraku
吰	kou
吱	koenosama
吲	hohoemu
吳	kure
吴	kure
吵	saezuru
