㞮	deru
怳	kuruu
怵	osoreru
怺	koraeru
恀	tanomu
恁	omou
恂	makoto
恃	tanomu
恆	tsune
恇	tsune
恈	musaborioshimu
恉	kokoro
恊	kanau
恋	koi
恌	usui
恍	honoka
恐	osoreru
恑	kawaru
恒	tsune
恔	satoi
恕	yurusu
恖	omoou
恗	osoreru
恙	tsutsuga
恚	ikaru
恝	kai
恟	osoreru
恠	ayashii
恡	oshimu
恢	hiroi
恣	hoshiimama
恤	ureeru
恥	hajiru
恧	hajiru
恨	uramu
恩	megumu
恪	tsutsushimu
恫	itamu
恬	yasui
恭	uyauyashii
息	iki
恰	atakamo
恱	yorokobu
恵	megumu
恷	kyuu
恾	osoreru
恿	isamu
悁	ureeru
悂	ayamaru
悃	magokoro
悄	ureeru
悅	yorokobu
悆	wasureru
悈	totonoeru
悉	tsukusu
悊	uyamau
悋	yabusaka
悌	sunao
悍	takeshi
悎	osoreru
悑	osoreru
悒	ureeru
悓	tatoe
悔	kuiru
悕	omou
悖	motoru
悗	ban
悘	tsumabiraka
悚	osoreru
悛	aratameru
悝	tawamureru
悞	ayamaru
悟	satoru
悠	tooi
悢	kanashimu
患	wazurau
悤	niwaka
悥	michiru
悦	yorokobu
悧	ri
您	ji
悩	nayamu
悪	warui
悰	tanoshimu
悱	iinayamu
悲	kanashii
悳	toku
悴	yatsureru
悵	itamu
悶	modaeru
悷	kanashimu
悸	osoreru
悻	motoru
悼	itamu
悽	itamu
悾	mokoto
惂	ureekurushimu
惄	himojii
情	nasake
惆	uramu
惇	atsui
惈	isamashii
惉	yabureru
惊	kanashimu
惋	nageku
惎	sokonau
惏	musaboru
惑	madou
惓	tsutsushimu
惔	ureeru
惕	tsutsushimu
惖	tsutsushimu
惘	akireru
惙	ureeru
惚	horeru
惛	oroka
惜	oshii
惝	utsutorisuru
惞	yorokobu
惟	omou
惠	megumu
惡	warui
惢	utagau
惣	isogashii
惥	susumeru
惧	osoreru
惨	mijime
惪	toku
惰	okotaru
惱	nayamu
惲	atsui
想	omoi
惴	osoreru
惵	yasuraka
惶	osoreru
惷	midareru
惸	ureeru
惹	hiku
惺	satoru
惻	itamu
惼	hen
惽	kon
愀	ureeru
愁	urei
愂	motoru
愃	yutaka
愆	ayamaru
愇	uramu
愈	masaru
愉	tanoshimu
愊	makoto
愌	habikoru
愍	awaremu
愎	motoru
意	kokoro
愐	tsutomeru
愑	mitsuru
愒	ikou
愓	hoshiimama
愔	yawaragu
愕	odoroku
愖	makoto
愗	oroka
愙	tsutsushimu
愚	oroka
愛	ai
愜	kokoroyoi
愞	yowai
感	kanjiru
愠	uramu
愡	sou
愢	kokorogatagau
愧	hajiru
愨	tsutsushimu
愪	ureerusama
愫	makoto
愬	uttaeru
愰	satoi
愱	kurushimu
愴	itamu
愵	ureerusama
愶	obiyakasu
愷	tanoshimu
愹	ikaru
愼	tsutsushimu
愽	hiroi
愾	tameiki
愿	tsutsushimu
慁	ureeru
慂	shiiru
慄	osoreru
慅	ugoku
慆	yorokobu
慇	itamu
慈	itsukushimu
慉	okosu
慊	uramu
態	sama
慌	awateru
慍	uramu
慎	tsutsushimu
慓	hayai
慕	shitau
慘	mijime
慙	hajiru
慚	hajiru
慝	warui
慞	osoreru
慟	nageku
慠	ogoru
慢	okotaru
慣	nareru
慥	tashika
慧	satoi
慨	nageku
慫	susumeru
慬	kanashimu
慭	namajiini
慮	omonpaka
慯	itamu
慰	nagusameru
慱	ureeru
慲	wasureru
慳	oshimu
慴	osoreru
慵	monoui
慶	yoi
慷	ikidooru
慸	takai
慻	kaerimiru
慼	ureeru
慾	konomi
慿	tsuku
憀	ryou
憁	sou
憂	ureeru
憃	oroka
憄	hodokosu
憇	ikoi
憊	tsukareru
憋	setsukachi
憍	hoshiimama
憎	nikumu
憐	awaremu
憑	yoru
憒	midareru
憓	itsukushimu
憔	yatsureru
憖	namajiini
憗	namajiini
憘	yorokobu
憙	yorokobu
憚	habakaru
憜	tsutsumanai
憝	uramu
憟	hetsurau
憠	tsuyoi
憤	ikidooru
憥	kurushimu
憧	akogareru
憨	oroka
憩	ikoi
憪	tanoshimu
憫	awaremu
憬	satoru
憭	satoi
憮	itsukushimu
憲	nori
憶	oboeru
憸	katayoru
憹	kokoromidareru
憺	yasuraka
憼	tsutsushimu
憾	uramu
懀	nikumu
懁	hageshii
懂	midareru
懃	nengoro
懆	ureeru
懇	nengoro
懈	okotaru
應	ataru
懊	nayamu
懋	tsutomeru
懌	yorokobu
懍	osoreru
懎	uramu
懏	satoi
懐	natsuku
懔	osoreru
懕	yasuraka
懜	kurai
懝	oroka
懞	atsui
懟	uramu
懡	ba
懢	musaboru
懣	modaeru
懤	hogaraka
懦	yowai
懧	yowai
懩	negau
懬	hiroi
懭	uramu
懯	omou
懲	korasu
懴	kuiru
懶	okotaru
懷	natsuku
懸	kakeru
懺	kuiru
懼	osoreru
懽	yorokobu
懾	osoreru
懿	yoi
戀	koi
戁	tsutsushimu
戃	odoroku
戄	odoroku
戇	oroka
戈	hoko
戉	masakari
戊	tsuchinoe
戌	inu
戍	mamoru
戎	tsuwamono
成	naru
我	ware
戒	imashimeru
戓	ka
戔	sokonau
戕	korosu
或	aru
戚	miuchi
戛	hoko
戜	surudoi
戝	sokonau
戞	hoko
戟	hoko
戠	shoku
戡	katsu
戢	osameru
戣	hoko
戦	tatakau
戧	hajimeru
戩	horobosu
截	tatsu
戫	hayai
戮	korosu
戯	tawamureru
戰	tatakau
戱	tawamureru
戲	tawamureru
戳	sasu
戴	itadaku
戵	gu
戶	to
户	to
戸	to
戹	semai
戻	modosu
戼	bou
戽	kumu
戾	modosu
房	fusa
所	tokoro
扁	hiratai
扂	kannuki
扃	kannuki
扄	shou
扅	i
扆	tsuitate
扇	ougi
扈	shitagau
扉	tobira
手	te
扌	tehen
才	wazukani
扎	nuku
扐	roku
扑	karukuutsu
扒	nuku
打	utsu
扔	yoru
払	harau
扖	hameru
托	tanomu
扚	hayakuutsu
扛	ageru
扜	sashimaneku
扞	fusegu
扠	sasu
扣	tataku
扤	ugoku
扨	sate
扭	nejimawasu
扮	yosoou
扯	hiku
扱	atsukau
扳	hiku
扶	tasukeru
批	utsu
扺	ataru
扼	osaeru
扽	hiku
找	saosasu
承	uketamawaru
技	waza
抂	kuruu
抃	utsu
抄	toru
抈	oru
抉	eguru
把	tsuka
抍	ageru
抎	ushinau
抏	kujiku
抐	someru
抑	osaeru
抒	kumu
抓	tsumamu
抔	sukuu
投	nageru
抖	ageru
抗	ataru
折	oru
抛	nageutsu
抜	nuku
択	erabu
抦	motsu
抨	hajiku
披	hiraku
抬	motageru
抱	idaku
抳	tomaru
抵	ataru
抶	muchiutsu
抷	hiraku
抹	suru
抺	saguru
抻	nobu
押	osu
抽	nuku
抾	toru
抿	naderu
拂	harau
拄	ageru
担	ninau
拆	hiraku
拇	oyayubi
拈	tsumamu
拉	kudaku
拊	utsu
拋	nageutsu
拌	suteru
拍	utsu
拎	kakeru
拏	hiku
拐	kataru
拑	hasamu
拒	kobamu
拓	hiraku
拔	nuku
拕	hiku
拖	hiku
拗	nejikeru
拘	todomeru
拙	tsutanai
拚	teoutsu
招	maneku
拜	ogamu
拝	ogamu
拠	yoru
拡	hirogaru
拪	utsuru
拫	shuu
括	kukuru
拭	nuguu
拮	hataraku
拯	sukuu
拱	komanuku
拲	tekase
拳	kobushi
拴	erabu
拵	koshiraeru
拶	semaru
拷	utsu
拼	shitagau
拽	hiku
拾	hirou
拿	hiku
持	motsu
挂	kakeru
挃	sasu
挄	hirogeru
指	yubi
挈	hitsusageru
按	osaeru
挊	moteasobu
挋	tasu
挌	utsu
挍	hakaru
挐	hiku
挑	kakageru
挓	hiraku
挖	abaku
挘	mushiru
挙	ageru
挟	hasamu
挧	ku
挨	hiraku
挩	toku
挪	momu
挫	kujiku
挭	midasu
振	furu
挵	moteasobu
挶	sasae
挹	kumu
挺	nuku
挼	otosu
挽	hiku
挾	hasamu
挿	sasu
捁	midasu
捂	hureru
捃	hirou
捄	moru
捆	totonoeru
捉	toraeru
捊	kakiatsumeru
捋	toru
捌	sabaku
捍	fusegu
捎	toru
捏	koneru
捐	suteru
捒	tsutsushimu
捓	moteasobu
捔	toru
捕	toraeru
捗	hakadoru
捘	sui
捛	tomo
捜	sagasu
捝	toku
换	kaeru
捥	ude
捦	katakutoru
捧	sasageru
捨	suteru
捩	nejiru
捫	naderu
捬	naderu
捭	hai
据	sueru
捱	husegu
捲	maku
捴	fun
捵	nobasu
捶	muchiutsu
捷	katsu
捸	nameraka
捺	osu
捻	hineru
捼	osu
捽	tsukamu
捿	sumu
掀	kakageru
掂	hakaru
掃	haku
掄	erabu
掇	hirou
授	sazukeru
掉	furuu
掊	kaku
掌	tanagokoro
掎	hiku
掏	erabu
掐	tsumamu
排	oshihiraku
掔	katai
掕	tomeru
掖	wakibasamu
掘	horu
掙	sasu
掚	kazaru
掛	kakeru
掞	noberu
掟	okite
掠	kasumeru
採	toru
探	saguru
掣	hiku
掤	huta
接	tsugu
掦	kakageru
控	hikaeru
推	osu
掩	oou
措	oku
掫	mamoru
掬	sukuu
掭	ten
掮	katsugu
掯	todokooru
掲	kakageru
掴	tsukamu
掵	haba
掻	kaku
掽	tsuku
掾	jou
揀	erabu
揁	hiku
揃	sorou
揄	hiku
揅	migaku
揆	hakaru
揈	utsu
揉	momu
揎	kakageru
描	egaku
提	sageru
揑	koneawaseru
插	sasu
揓	toru
揔	sube
揕	utsu
揖	eshaku
揚	ageru
換	kaeru
揜	toru
揠	nuku
握	nigiru
揣	hakaru
揥	kougai
揩	nuguu
揪	atsumeru
揬	tsuku
揭	kakageru
揮	furuu
揲	kazoeru
揳	tadashikunai
援	tasukeru
揵	ageru
揶	karakau
揷	sasu
揸	tsumamu
揹	seou
揺	yura
搆	hiku
搉	utsu
搊	shuu
損	sokonau
搏	utsu
搐	itamu
搒	oou
搓	yoru
搔	kaku
搖	yusuru
搗	tsuku
搘	sasaeru
搙	sasaeru
搜	sagasu
搞	tataku
搠	nuru
搢	hasamu
搤	toraeru
搥	nageutsu
搦	karameru
搨	utsu
搩	katsugu
搪	haru
搬	utsusu
搭	noseru
搯	toridasu
搰	horu
搴	toru
搵	shizumu
搶	tsuku
携	tazusaeru
搽	ta
搾	shiboru
搿	kaku
摂	osameru
摇	yusuru
摋	utsu
摎	kukuru
摏	tsuku
摑	tsukamu
摒	harau
摓	nuu
摔	shutsu
摘	tsumu
摚	tomeru
摛	shiku
摜	narau
摝	nagokasu
摟	hiku
摠	subete
摡	arau
摣	toru
摧	kudaku
摩	suru
摭	hirou
摯	itaru
摳	hirou
摴	noberu
摶	marui
摸	saguru
摺	hida
摻	toru
摽	utsu
撃	utsu
撅	atsumeru
撇	nuguu
撈	sukuiage
撏	toru
撐	sasaeru
撑	sasaeru
撒	maku
撓	tawameru
撕	saku
撘	tou
撙	osaeru
撚	hineru
撛	tasukeru
撝	hanasu
撞	tsuku
撟	kyou
撡	misao
撣	motsu
撤	suteru
撥	haneru
撦	saku
撨	erabu
撩	osameru
撫	naderu
撬	ageru
播	maku
撮	toru
撰	erabu
撲	utsu
撳	osaeru
撹	midasu
撻	muchiutsu
撼	ugokasu
撽	tataku
撾	utsu
撿	komaneku
擁	idaku
擂	suru
擄	toriku
擅	hoshiimama
擇	erabu
擉	sasu
擊	utsu
擋	sakeru
擌	mochizao
操	ayatsuru
擎	sasageru
擐	tsuranuku
擑	tsuugu
擒	toraeru
擔	ninau
擕	tazusaaeru
擗	muneoutsu
擘	saku
據	yoru
擠	osu
擡	motageru
擢	nukinderu
擣	tsuku
擤	hanaokamu
擥	toru
擦	suru
擧	ageru
擩	hitasu
擪	osaeru
擬	nazoraeru
擭	aageru
擯	shirizokeru
擰	midareru
擱	oku
擲	nageutsu
擴	hirogaru
擵	suru
擶	tadasu
擷	hasamu
擺	hiraku
擻	ageru
擽	kusuguru
擾	midareru
擿	kaku
攀	yojiru
攁	hirakiugokasu
攄	noberu
攅	atsumaru
攈	hirou
攉	kaku
攊	utsu
攏	toru
攓	toru
攔	saegiru
攖	semuru
攘	harau
攙	sasu
攛	nageutsu
攜	tazusaeru
攝	osameru
攞	erabu
攟	hirou
攢	atsumaru
攣	hiku
攤	hiraku
攦	oru
攩	tomo
攪	midasu
攫	tsukamu
攬	toru
攮	osu
支	sasaeru
攰	tsukarekiru
攱	noseru
攴	utsu
攵	utsu
收	osameru
攷	kangaeru
攸	tokoro
改	aratameru
攺	i
攻	semeru
攼	motomeru
攽	wakeru
放	hanasu
政	matsurigoto
敃	tsutomeru
故	yue
敇	muchiutsu
效	kiku
敉	naderu
敋	utsu
敍	tsuideru
敎	oshieru
敏	toshi
敐	yorokondeugokusama
救	sukuu
敒	osameru
敔	sashitomeru
敕	imashimeru
敖	asobu
敗	yabureru
敘	tsuideru
教	oshieru
敝	yabureru
敞	takai
敟	tsukasadoru
敠	hakaru
敡	anadoru
敢	aete
散	chiru
敦	atsui
敧	hasamu
敩	oshieru
敪	hakaru
敫	utsuru
敬	uyamau
敭	you
敯	okasu
数	kazoeru
敲	tataku
整	totonoeru
敵	kataki
敷	shiku
數	kazoeru
敺	kaakeru
敻	haruka
敽	tsunagu
敿	tsunagu
斁	iyaninaru
斂	osameru
斃	taoreru
斅	oshieru
斆	oshieru
文	fumi
斈	manabu
斉	sorou
斊	hitoshii
斌	uruwashii
斎	monoimi
斐	aya
斑	madara
斒	madara
斕	aya
斗	tomasu
斘	noboru
料	hakaru
斛	masu
斜	naname
斝	utsuwa
斟	kumu
斠	hakaru
斡	meguru
斣	kaeau
斤	ono
斥	shirizokeru
斦	akiraka
斧	ono
斫	kiru
斬	kiru
断	tatsu
斮	kiru
斯	kono
新	atarashii
斲	kiru
斳	seri
斴	rin
斷	tatsu
方	kata
於	au
施	hodokosu
斿	hataashi
旁	katawara
旂	hata
旃	hata
旄	hatakazari
旅	tabi
旆	hata
旈	hataashi
旉	hu
旋	meguru
旌	hata
旎	tanabiku
族	yakara
旐	chou
旒	hataashi
旔	katsu
旖	nabiku
旗	hata
旘	shi
旙	hata
旛	hata
旟	hata
无	nai
旡	musebu
既	tsukiru
旣	tsukiru
日	hi
旦	ashita
旧	furui
旨	mune
早	hayai
旬	amaneku
旭	asahi
旰	kureru
旱	hideri
旲	hikage
旴	asa
旵	tan
旹	toki
旺	sakan
旻	akizora
旾	haru
旿	akiraka
昀	in
昂	agaru
昃	katamuku
昄	ookii
昆	ani
昇	noboru
昈	akiraka
昉	akiraka
昊	sora
昌	sakan
昍	akiraka
明	akarui
昏	kurai
昑	akiraka
昒	yoake
易	yasashii
昔	mukashi
昕	asa
昖	meguru
昜	agaru
昝	san
昞	akiraka
星	hoshi
映	haeru
昡	ken
昢	yoake
昣	akiraka
昤	rei
春	haru
昦	sora
昧	kurai
昨	kinou
昩	kumoru
昪	tanoshimusama
昫	atataka
昬	kurai
昭	akiraka
昮	shou
是	kore
昰	kore
昱	akiraka
昳	katamuku
昴	subaru
昵	chikazuku
昶	nagai
昷	megumu
昹	ai
昻	agaru
昼	hiru
昿	akiraka
晀	akiraka
晁	asa
時	toki
晃	akiraka
晄	akiraka
晅	akiraka
晆	wakareru
晉	susumu
晊	ookii
晋	susumu
晌	mahiru
晎	akekakaru
晏	osoi
晑	akiraka
晒	sarasu
晗	kan
晘	hinoderusama
晙	akiraka
晚	kure
晛	higaarawareru
晜	kon
晝	hiru
晞	kawaku
晟	akiraka
晠	akiraka
晡	yuugata
晢	akiraka
晤	akiraka
晦	misoka
晧	hikaru
晨	ashita
晩	kure
晪	akiraka
晫	akiraka
晬	hitomawari
普	amaneshi
景	keshiki
晰	akiraka
晳	akiraka
晴	hareru
晵	hareru
晶	akiraka
晷	kage
晸	tei
晹	kageru
智	chie
晻	kurai
晼	en
晾	sarasu
晿	shou
暀	kagayakiutsukushii
暁	akatsuki
暃	hi
暄	atatakai
暇	hima
暈	kasa
暉	kagayaku
暋	tsutomeru
暌	kureru
暍	atsusaatari
暎	haeru
暏	atsui
暐	hizashi
暑	atsui
暒	hareru
暖	atatakai
暗	kurai
暘	hinode
暙	shun
暚	hinohikari
暛	akiraka
暜	amaneshi
暝	kurai
暟	terai
暠	kou
暢	nobiru
暤	akiraka
暦	koyomi
暨	oyobu
暫	shibaraku
暭	akiraka
暮	kureru
暱	chikazuku
暲	shou
暴	abaku
暵	kawakasu
暸	akiraka
暹	susumu
暻	akiraka
暼	hetsu
暾	asahi
暿	sakannasama
曀	kumoru
曁	oyobu
曂	akiraka
曃	akirakadenaisama
曄	kagayaku
曅	kagayaku
曆	koyomi
曇	kumoru
曈	honogurai
曉	akatsuki
曌	teeru
曎	hikaru
曏	sakini
曔	akiraka
曖	kurai
曙	akebono
曚	kurai
曛	tasogare
曜	hikari
曝	sarasu
曟	ashita
曠	akiraka
曡	tatamu
曦	hi
曨	oboro
曩	saki
曫	tasogare
曬	sarasu
曮	gan
曰	iu
曱	ou
曲	magaru
曳	hiku
更	sara
曵	hiku
曷	nani
書	kaku
曹	tsukasa
曺	tsukasa
曻	noboru
曼	hiku
曽	katte
曾	katte
替	kaeru
最	mottomo
會	au
朅	saru
朇	masu
月	tsuki
有	aru
朋	tomo
朌	wakeru
服	kiru
朎	tsukinoushiinikari
朏	mikazuki
朐	atatakai
朒	niku
朓	chou
朔	tsuitachi
朕	ware
朖	hogaraka
朗	hogaraka
朘	chijimaru
朙	aakari
望	nozomu
朜	tsukinohikari
朝	asa
朞	toki
期	chigiru
朠	ei
朢	mochizuki
朦	oboro
朧	oboro
木	ki
朩	hitoshii
未	imada
未来	mirai
末	sue
本	moto
札	fuda
朮	mochiawa
术	mochiawa
朱	aka
朳	eburi
朴	hoo
朵	eda
朶	eda
朷	tou
朸	ougo
机	tsukue
朽	kuchiru
朾	tsuku
朿	toge
杁	eburi
杅	yunomi
杆	teko
杇	kote
杈	eda
杉	sugi
杌	gotsu
李	sumomo
杏	anzu
材	maruta
村	mura
杓	hishaku
杔	utsugi
杕	tei
杖	tsue
杙	kui
杜	yamanashi
杝	magaki
杞	suki
束	taba
杠	teko
条	eda
杢	moku
杣	soma
杤	tochi
来	kuru
杦	sugi
杧	man
杪	kozue
杬	hujimodoki
杭	wataru
杮	kokera
杯	sakazuki
杰	sugureru
東	higashi
杲	akiraka
杳	haruka
杴	suki
杵	kine
杶	chun
杷	tsuka
杻	tekase
杼	hi
松	matsu
板	ita
极	nigura
构	kamaaeru
枅	togata
枇	saji
枉	magaru
枋	mayumi
枌	sogi
枎	shigeru
枏	kusunoki
析	saku
枑	yarai
枓	hishiyaku
枕	makura
枖	kigawakakusakannasama
林	hayashi
枘	sen
枙	hushi
枚	hira
枛	kinotogi
果	hatasu
枝	eda
枠	waku
枡	masu
枢	toboso
枦	haze
枩	matsu
枯	kareru
枰	sugorokuban
枱	suki
枲	karamushi
枳	karatachi
枴	tsue
枵	utsuro
架	kakeru
枷	karazao
枸	hiiragi
枹	bachi
枻	kai
枼	usuikifuda
枽	kuwa
枾	kaki
柀	sugi
柁	kaji
柂	kaji
柃	rei
柄	e
柅	ji
柆	oretaki
柈	hachi
柉	han
柊	hiiragi
柎	utena
柏	kashiwa
某	soregashi
柑	mikan
柒	urushi
染	someru
柔	yawarakai
柗	matsu
柘	yamaguwa
柙	ori
柚	yuzu
柜	amadare
柝	hyoushigi
柞	hahaso
柡	ei
柢	ne
柤	iseki
查	shiraberu
柦	tan
柧	kado
柩	hitsugi
柬	erabu
柮	kirihashi
柯	e
柰	karanashi
柱	hashira
柲	nigiri
柳	yanagi
柴	shiba
柵	yarai
柶	saji
柷	shuku
柹	kaki
査	shiraberu
柾	masa
柿	kaki
栂	toga
栃	tochi
栄	sakaeru
栅	yarai
栈	kakehashi
栓	sennoki
栔	kizamu
栖	sumu
栗	kuri
栙	funenoho
栝	takigi
栞	shiori
栟	hei
校	kase
栢	kashiwa
栧	kai
栨	taru
栩	kunugi
株	kabu
栫	fushizuke
栬	chisanakui
栭	masugata
栯	ikuri
栰	ikada
栱	kui
栲	tae
栳	rou
栴	sen
核	sane
根	ne
栻	choku
格	tadasu
栽	ueru
栿	hari
桀	haritsuke
桁	keta
桂	katsura
桃	momo
桄	yokogi
桅	kuchinashi
框	kamachi
案	tsukue
桊	ken
桌	taku
桍	munashii
桎	ashikase
桐	kiri
桑	kuwa
桒	kuwa
桓	takeshii
桔	hanetsurube
桕	buna
桗	ne
桘	shii
桙	hoko
桛	kasei
桜	sakura
桝	masu
桟	kakehashi
档	koshikake
桧	hinoki
桫	hego
桮	sakazuki
桯	tsukue
桰	yudame
桱	kei
桲	karazao
桴	bachi
桵	tara
桶	oke
桷	taruki
桹	rou
桺	yanagi
桻	kozue
桼	urushi
桾	kun
桿	teko
梁	hashi
梂	nominosaki
梃	tsue
梄	yaku
梅	ume
梆	hou
梈	kidetsukutsutaooyumi
梍	saikachi
梎	kamanoe
梏	tekase
梓	azusa
梔	kuchinashi
梖	baitara
梗	yamanire
梘	sen
梚	ban
梛	nagi
梜	soeita
條	eda
梟	fukurou
梠	hisashi
梡	manaita
梢	kozue
梣	toneriko
梥	matsu
梦	yume
梧	aogiri
梨	nashi
梩	suki
梪	takatsuki
梭	hi
梮	zen
梯	hashigo
械	kase
梱	shikimi
梲	tsuka
梳	kushikezuru
梵	fuu
梶	kozue
梹	binroushi
梺	fumoto
梻	shikimi
梼	kirikabu
棁	tsuka
棄	suteru
棅	hei
棆	rin
棈	sen
棉	wata
棊	go
棋	go
棌	kunugi
棍	tsue
棏	toku
棐	yudame
棑	ikada
棒	tsue
棓	tsue
棔	kon
棕	shu
棖	hashira
棗	natsume
棘	ibara
棙	karakuri
棚	tana
棜	dai
棝	nezumiotoshi
棟	mune
棠	yamanashi
棡	kou
棣	niwazakura
棥	magaki
棧	kakehashi
棨	tegata
棪	en
棫	tara
棬	ken
棭	nemunoki
森	mori
棯	jin
棰	shie
棱	rou
棲	sumu
棵	kigire
棶	muku
棹	sao
棺	hitsugi
棼	munagi
棽	chin
椀	hachi
椁	hitsugi
椄	tsugu
椅	isu
椆	chuu
椈	hinoki
椉	nooru
椊	hozo
椋	muku
椌	munashii
植	ueru
椎	tsuchi
椏	mata
椐	magaki
椑	taru
椒	hajikami
椓	tataku
椖	hou
椗	ikari
椙	sugi
椚	kunugi
椛	momiji
検	shiraberu
椡	kunugi
椢	soko
椣	shide
椥	nagi
椦	ken
椨	tafu
椪	kunugi
椰	yashi
椱	inoashi
椳	wai
椴	mukuge
椵	kui
椶	shu
椸	koromokake
椹	ategi
椻	seki
椽	taruki
椿	tsubaki
楂	ikada
楅	hyoku
楉	zakuro
楊	yanagi
楎	kara
楓	kaede
楔	kusabi
楕	nuku
楗	kannuki
楙	utsukushii
楚	ibara
楛	ko
楜	koshou
楝	ouchi
楞	kado
楠	kusunoki
楡	nire
楢	nara
楣	hisashi
楤	sou
楥	kata
楦	ken
楨	nezumimochi
楩	hen
楪	mado
楫	kaji
楬	tatehuda
業	waza
楮	kouzo
楯	tate
楰	nezumimochi
楱	sou
楲	omaru
楳	ume
楴	kanzashi
極	kiwameru
楷	kata
楸	hisagi
楹	hashira
楺	juu
楻	hatazao
楼	takadono
楽	tanoshii
楾	hazou
楿	katsura
榀	komai
榁	muro
概	tokaki
榅	sugi
榆	nire
榊	sakaki
榍	setsu
榎	enoki
榑	kure
榒	doku
榔	rou
榕	akou
榖	kouzo
榘	jougi
榛	hashibami
榜	tatefuda
榠	bei
榡	kiji
榥	tsukue
榦	miki
榧	kaya
榨	shiboriki
榫	hozo
榭	dai
榮	sakaeru
榯	tatsu
榱	taruki
榲	sugi
榴	zakuro
榷	marukibashi
榸	karekinone
榺	hatanokeishiwomotsugu
榻	koshikake
榼	sakadaru
榾	hota
榿	hannoki
槁	kareru
槃	tarai
槅	kubiki
槇	kozue
槈	suki
槊	hoko
構	kamaeru
槌	tsuchi
槍	yari
槎	ikada
槐	enju
槑	ume
槓	teko
槖	hukuro
槗	hashi
様	sama
槙	kozue
槝	kashi
槞	ori
槢	kusabi
槥	hitsugi
槧	fuda
槨	sotohitsugi
槪	tokaki
槫	marui
槭	kaede
槮	shin
槯	tsumu
槱	yaku
槲	kashiwa
槳	kaji
槵	muku
槹	kou
槻	tsuki
槽	kaibaoke
槾	kote
槿	mukuge
樀	noki
樁	kui
樂	tanoshii
樃	rou
樅	momi
樊	magaki
樋	hi
樌	kan
樏	hachi
樑	hashi
樒	jinkou
樓	takadono
樔	yagura
樕	shiba
樗	ouchi
標	kozue
樚	rokuro
樛	tsuga
樝	koboke
樞	toboso
樟	kusu
樠	bon
模	kata
樢	tsuta
樣	sama
樤	yuzu
樨	mokusei
権	omori
横	yoko
樫	kashi
樮	hokuso
樰	tara
樲	natsume
樴	bou
樵	kikoru
樶	fushi
樷	muragaru
樸	kiji
樹	ueru
樺	kaba
樻	ki
樽	taru
樾	kokage
樿	tsuge
橄	kan
橅	buna
橆	shigeru
橇	sori
橈	tawamu
橉	shikimi
橊	zakuro
橋	hashi
橎	han
橐	hukuro
橑	taruki
橒	mokume
橕	hashira
橖	kurumagi
橘	tachibana
橙	daidai
橛	kui
機	hata
橡	tochi
橢	kobanga
橤	tareru
橦	mune
橧	somai
橪	konatsume
橫	yoko
橱	kuriya
橲	zusa
橳	nude
橸	shou
橾	shu
橿	e
檀	mayumi
檁	keta
檃	tamegi
檄	furebumi
檆	sugi
檇	tsuku
檉	kawarayanagi
檋	kanjiki
檍	mochi
檎	go
檐	hisashi
檑	rai
檗	kiwada
檛	tsue
檜	hinoki
檝	kaji
檞	matsuyani
檟	hisagi
檠	yudame
檢	shiraberu
檣	hobashira
檥	funayosooi
檩	keta
檪	kunugi
檫	shinbashira
檬	bou
檮	kirikabu
檯	tsukue
檰	tochiyuu
檱	go
檳	binroushi
檴	akinire
檸	nei
檻	ori
檼	mune
檽	kikurage
檾	ichibi
檿	yamaguwa
櫁	jinkou
櫂	kaji
櫃	hitsu
櫆	kai
櫈	koshikake
櫉	hitsu
櫌	narasu
櫐	huji
櫑	sakadaru
櫓	oodate
櫔	rei
櫕	tsue
櫖	fuza
櫚	karin
櫛	kushi
櫜	fukuro
櫝	hako
櫞	en
櫟	kunugi
櫤	tamo
櫥	hitsu
櫧	kashi
櫨	haze
櫪	kaibaoke
櫬	hitsugi
櫰	inuenju
櫱	hikobae
櫲	kusunoki
櫺	renji
櫻	sakura
櫼	kusabi
櫽	tamegi
欂	hashira
欃	san
欄	tesuri
欅	keyaki
欆	funenoho
欇	konohagauragaeru
欉	shigeru
權	omori
欏	yamanashi
欐	mune
欑	tsue
欒	ouchi
欖	ran
欗	tesuri
欛	tsuka
欝	shigeru
欞	rei
欟	tsuki
欠	kakeru
次	tsugu
欣	yorokobu
欤	ka
欧	haku
欨	huku
欫	keki
欬	seki
欯	yorokobu
欲	hossuru
欵	kan
欶	suu
欷	nageku
欸	nageku
欹	sobadatsu
欺	azamuku
欻	kutsu
欽	tsutsushimu
款	makoto
欿	motomeru
歀	makoto
歃	susuru
歆	ukeru
歇	yameru
歉	akitarinai
歊	noboru
歌	uta
歍	haku
歎	nageku
歐	haku
歒	warau
歓	yorokobu
歔	susurinaku
歖	ki
歘	kutsu
歙	suu
歛	nozomu
歝	iyaninaru
歟	ka
歠	nomu
歡	yorokobu
止	tomaru
正	tadashii
此	koko
步	aruku
武	takeshi
歧	yubi
歩	aruku
歪	yugamu
歫	tomeru
歮	shibu
歯	ha
歰	shiburu
歲	toshi
歳	toshi
歴	heru
歵	totonou
歸	totsugu
歹	warui
死	shinu
歽	wakajini
歾	shinu
歿	shinu
殀	wakajini
殁	shinu
殂	shinu
殃	wazawai
殄	tsukiru
殅	yomigaeru
殆	ayaui
殉	shitagau
殊	koto
残	nokoru
殍	uejini
